TUNING RESULTS OUTPUT,GA_Tuning_10_05_2022_23_25,,,,,,,,,,,,,,,,,,,,,,,,,,
Node Size,Src/Sink Size,Parallel Edges Size,Target Flow,OPTIMAL,,,,,,,,,,,,,,,,,,,,,,,
133,5,1,384,14050.08044,,,,,,,,,,,,,,,,,,,,,,,
Pop Size,Generations,Init Dist,Init Params,Selection,Tourny Size,Crossover,Replacement,Mutation,Nudge Params,Mutate Rate,Path Select,Path Tourny,Path Order,Path Rank,Path Size,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Avg Value,Opt Gap
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14083.54799,14052.82145,14086.28806,14225.09651,14139.82172,14050.07009,14128.97954,14160.58463,14139.81936,14050.06119,14111.70905,0.438635306
30,20,gaussian,"[1.0, 0.3]",tournament,5,onePoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14052.80241,14086.28871,14120.89439,14050.06028,14137.05115,14052.80315,14050.05601,14086.2891,14139.80901,14222.35183,14099.8406,0.354162846
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14573.99808,15048.78787,14964.09491,15362.83643,15698.28818,14583.32032,14515.24553,15244.20976,14382.33633,15411.46045,14978.45778,6.607630105
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14389.35473,14620.90405,14779.52104,15712.06935,15235.19869,14627.15691,14791.71763,14697.59949,14669.83881,14553.66327,14807.7024,5.392296219
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14556.4034,14052.80903,15230.08036,14644.63203,14618.12534,14515.41007,15147.4244,15135.04144,15270.15361,14967.56203,14813.76417,5.43544028
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14645.54516,15143.75528,14637.13415,14787.79033,15430.56619,14154.36212,14453.97454,14998.15603,14756.81688,14787.39674,14779.54974,5.191922604
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14266.43846,15748.34248,15201.27333,14570.65647,14819.14987,14086.32225,14486.09225,14649.89547,15105.83107,14918.18347,14785.21851,5.232269492
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14652.75451,15293.83615,15564.27387,14294.65793,14784.0247,15587.13882,14247.67284,14382.30184,14537.71362,14899.48496,14824.38592,5.511039515
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,15466.42515,15104.43441,14496.36765,14861.51328,14524.77166,15562.61586,14666.98613,14421.46762,14994.15911,14679.77124,14877.85121,5.891573191
30,20,uniform,"[0.0, 1.0]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14882.12826,15165.05292,14536.30406,14213.74286,14695.26004,14728.43517,14643.87244,15739.89647,15244.57879,14525.53412,14837.48051,5.604238888
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,15446.93471,14714.43323,14209.99679,14498.22509,14720.74059,14050.06729,14271.4621,14436.8141,15509.62855,15088.23584,14694.65383,4.587684701
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14473.45897,14830.56615,14213.74099,14710.99147,15550.24198,14637.64486,15166.91254,15696.84833,14967.38968,14456.29843,14870.40934,5.838606426
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14698.12182,15448.06325,14911.8091,15144.82395,14518.11561,14346.49021,14643.20333,14896.24829,14551.03656,15042.19534,14820.01074,5.479899622
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14713.32562,15026.13658,14409.11871,14764.2748,14724.86566,14906.80722,14744.74029,15191.95926,15120.58611,14435.83208,14803.76463,5.364269582
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14774.12777,14052.82819,14183.59313,14469.7637,14603.06878,14588.16264,14797.73862,14746.09067,15072.54222,14225.37642,14551.32921,3.567586517
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14592.00201,14768.56328,14761.24849,14191.90698,14354.81187,14832.0784,14402.46482,15673.74025,14916.19728,14997.22034,14749.02337,4.974654315
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14784.44888,14889.54994,14699.15461,15098.3491,14770.49418,14648.71747,15091.45309,14474.82249,14473.74486,14504.33623,14743.50709,4.935392716
30,20,uniform,"[0.0, 1.0]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14818.79324,14852.36639,15378.60472,14583.30103,14488.00334,14768.24116,14812.95617,14626.42654,15238.73875,14416.01749,14798.34488,5.325695086
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14128.98889,14052.81091,14129.00235,14052.82616,14139.84109,14154.40231,14120.90344,14268.99702,14139.83549,14201.64128,14138.92489,0.63234125
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14137.09604,14052.81181,14050.06952,14357.4684,14139.82166,14189.14288,14139.83085,14052.81195,14086.315,14357.49731,14156.28654,0.755910993
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14236.89716,14120.89583,14160.58205,14257.83676,14180.79644,14120.88102,14139.82865,14207.90708,14154.37339,14050.05438,14163.00528,0.803730893
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14207.89638,14487.06198,14249.20813,14364.22072,14083.54818,14139.81773,14050.05987,14137.06781,14236.89953,14160.57253,14211.63529,1.149849972
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14137.07996,14191.90801,14052.81716,14304.08038,14129.00469,14207.90216,14369.23024,14052.83579,14183.55013,14086.29754,14171.47061,0.863982015
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14128.97894,14269.0035,14290.52113,14086.30543,14191.88445,14251.9717,14050.06343,14213.74251,14083.54319,14285.24531,14185.12596,0.961172556
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14214.12345,14201.68169,14050.06608,14128.9782,14201.66016,14050.06827,14050.07158,14225.11253,14139.81717,14363.6045,14162.51836,0.800265333
30,20,gaussian,"[1.0, 0.3]",tournament,3,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14139.82462,14251.94074,14050.06354,14086.29056,14083.54381,14191.87255,14052.81396,14052.8122,14246.36599,14086.29843,14124.18264,0.527414783
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14137.09024,14050.09033,14139.82933,14052.83728,14052.82585,14207.93115,14050.09231,14052.81569,14086.30328,14198.9057,14102.87212,0.375739318
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14183.55564,14235.54082,14305.49628,14244.06197,14139.81959,14052.80972,14137.07743,14052.79948,14215.74902,14052.83032,14161.97403,0.796391084
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14120.88812,14214.11283,14086.28585,14050.06438,14286.14379,14052.80525,14214.09376,14139.79619,14213.7517,14050.04842,14142.79903,0.659915007
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceWeakestTwo,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14052.80629,14086.27761,14050.0649,14201.64031,14214.10247,14214.10317,14197.05929,14139.78733,14050.0584,14052.8077,14125.87075,0.539429699
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14052.83979,14218.51665,14201.64811,14052.82166,14154.39784,14139.82807,14052.82352,14086.28549,14052.84175,14139.84829,14115.18512,0.463375835
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14120.90476,14154.35087,14052.82035,14139.83535,14086.32078,14139.85011,14139.81693,14086.31789,14128.99194,14137.07157,14118.62805,0.487880589
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14137.09666,14050.0661,14052.6928,14052.80753,14183.54926,14139.81791,14086.29439,14139.82009,14052.80834,14052.80847,14094.77615,0.318117144
30,20,gaussian,"[1.0, 0.3]",tournament,5,twoPoint,replaceParents,randomSingleEdge,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14052.80492,14086.29461,14086.30455,14251.97243,14083.55818,14052.81131,14139.8311,14086.29866,14052.81046,14086.27637,14097.89626,0.34032415
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.01,N/A,N/A,N/A,N/A,N/A,14719.68478,15330.77621,14498.29673,14641.47891,15484.10934,14451.04739,14989.64446,15071.21904,14120.92014,15513.18054,14882.03576,5.921356248
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.1,N/A,N/A,N/A,N/A,N/A,14536.27541,14451.2227,14368.22554,14139.84103,14639.55747,14425.00326,14504.35276,14495.24024,14379.80965,14334.16859,14427.36966,2.685317186
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.25,N/A,N/A,N/A,N/A,N/A,14425.21578,14369.7263,14266.17808,14207.925,14429.24338,14050.07044,14379.87607,14083.57582,14236.92046,14191.87835,14264.06097,1.522984359
30,20,uniform,"[0.0, 1.0]",tournament,3,onePoint,replaceWeakestTwo,randomTotal,"[0.0, 1.0]",0.5,N/A,N/A,N/A,N/A,N/A,14407.70043,14388.05062,14340.95306,14214.08587,14475.01784,14340.58578,14215.77096,14450.91746,14323.89144,14305.51831,14346.24918,2.107950483
